bill_id,status,cong,cosponsors,majority,republican,independent
103_hr3390,0,103,0.0,1.0,0,0
103_hr3394,0,103,16.0,0.0,1,0
103_hr3403,0,103,2.0,0.0,1,0
103_hr3408,0,103,5.0,1.0,0,0
103_hr341,0,103,0.0,1.0,0,0
103_hr3410,0,103,0.0,1.0,0,0
103_hr3416,0,103,2.0,0.0,1,0
103_hr3417,0,103,5.0,0.0,1,0
103_hr3421,0,103,84.0,0.0,1,0
103_hr3429,0,103,2.0,0.0,1,0
103_hr3431,0,103,7.0,0.0,1,0
103_hr3434,0,103,77.0,1.0,0,0
103_hr3438,0,103,2.0,1.0,0,0
103_hr3445,0,103,18.0,1.0,0,0
103_hr3446,0,103,5.0,0.0,1,0
103_hr3458,0,103,21.0,0.0,1,0
103_hr346,0,103,43.0,1.0,0,0
103_hr3460,0,103,1.0,1.0,0,0
103_hr3464,0,103,4.0,0.0,1,0
103_hr3480,0,103,41.0,0.0,1,0
103_hr3481,0,103,4.0,1.0,0,0
103_hr3482,0,103,7.0,1.0,0,0
103_hr3483,0,103,10.0,0.0,1,0
103_hr3484,0,103,1.0,1.0,0,0
103_hr3498,0,103,25.0,1.0,0,0
103_hr3501,0,103,0.0,1.0,0,0
103_hr351,0,103,0.0,1.0,0,0
103_hr3519,0,103,23.0,0.0,1,0
103_hr3529,0,103,0.0,1.0,0,0
103_hr3530,0,103,0.0,1.0,0,0
103_hr3531,0,103,0.0,1.0,0,0
103_hr3534,0,103,12.0,1.0,0,0
103_hr3536,0,103,0.0,1.0,0,0
103_hr354,0,103,1.0,1.0,0,0
103_hr3545,0,103,22.0,0.0,1,0
103_hr3553,0,103,0.0,1.0,0,0
103_hr3555,0,103,0.0,1.0,0,0
103_hr3572,0,103,11.0,1.0,0,0
103_hr3575,0,103,0.0,1.0,0,0
103_hr3577,0,103,3.0,1.0,0,0
103_hr358,0,103,9.0,1.0,0,0
103_hr3591,0,103,1.0,1.0,0,0
103_hr3592,0,103,0.0,1.0,0,0
103_hr3595,0,103,0.0,0.0,1,0
103_hr3611,0,103,23.0,1.0,0,0
103_hr3612,0,103,0.0,0.0,1,0
103_hr3613,0,103,0.0,0.0,1,0
103_hr3616,1,103,0.0,1.0,0,0
103_hr3627,0,103,16.0,1.0,0,0
103_hr3628,0,103,5.0,1.0,0,0
103_hr363,0,103,0.0,1.0,0,0
103_hr3632,0,103,2.0,1.0,0,0
103_hr3633,0,103,85.0,0.0,1,0
103_hr364,0,103,0.0,1.0,0,0
103_hr3642,0,103,93.0,1.0,0,0
103_hr3648,0,103,3.0,0.0,1,0
103_hr3649,0,103,5.0,0.0,1,0
103_hr365,0,103,0.0,1.0,0,0
103_hr3650,0,103,4.0,1.0,0,0
103_hr3654,0,103,4.0,1.0,0,0
103_hr3655,0,103,0.0,1.0,0,0
103_hr3663,0,103,85.0,1.0,0,0
103_hr3665,0,103,1.0,0.0,1,0
103_hr3666,0,103,30.0,1.0,0,0
103_hr3668,0,103,17.0,1.0,0,0
103_hr367,0,103,0.0,1.0,0,0
103_hr3673,0,103,1.0,0.0,1,0
103_hr3675,0,103,0.0,1.0,0,0
103_hr3682,0,103,0.0,1.0,0,0
103_hr3694,1,103,55.0,1.0,0,0
103_hr37,0,103,16.0,0.0,1,0
103_hr3706,0,103,38.0,1.0,0,0
103_hr3708,0,103,0.0,1.0,0,0
103_hr371,0,103,0.0,0.0,1,0
103_hr3711,0,103,0.0,0.0,1,0
103_hr3712,0,103,47.0,1.0,0,0
103_hr3719,0,103,0.0,0.0,1,0
103_hr372,0,103,4.0,0.0,1,0
103_hr3722,0,103,11.0,1.0,0,0
103_hr3728,0,103,4.0,1.0,0,0
103_hr3734,0,103,0.0,0.0,1,0
103_hr3735,0,103,43.0,1.0,0,0
103_hr3736,0,103,0.0,1.0,0,0
103_hr3746,0,103,3.0,1.0,0,0
103_hr3754,0,103,0.0,1.0,0,0
103_hr376,0,103,0.0,0.0,1,0
103_hr3767,0,103,0.0,0.0,1,0
103_hr3773,0,103,1.0,0.0,1,0
103_hr3775,0,103,2.0,0.0,1,0
103_hr3780,0,103,6.0,0.0,1,0
103_hr3785,0,103,19.0,1.0,0,0
103_hr3786,0,103,9.0,1.0,0,0
103_hr3793,0,103,0.0,0.0,1,0
103_hr3798,0,103,6.0,0.0,1,0
103_hr3799,0,103,9.0,0.0,1,0
103_hr38,1,103,0.0,1.0,0,0
103_hr3810,0,103,21.0,1.0,0,0
